535	1193	133.1	529.2	71.5	12.96	57.2	6.4	31.95	6.47	16.83	2.03	13.27	2.195	601.9	189.6	0.619551769	3.174578059	40.31650339
12.17	39.66	6.95	40.3	11.26	5.46	13.81	2.08	12.88	3.14	9.37	1.342	10.52	1.88	588.4	111.3	1.33859822	5.286612758	1.156844106
107.8	317	48.5	260.8	64.9	34.4	69.4	9.46	52.6	12.26	36.3	5.43	40.9	8.11	566	411	1.567039681	1.377128954	2.635696822
160.4	472.7	72.5	383.8	86.9	41.2	91.2	11.93	69.8	15.81	48.1	7.35	56.6	11.36	530	559	1.414860244	0.948121646	2.833922261
30	111.4	20.41	127.2	39	12.9	53.3	7.79	50.2	11.6	33.4	4.86	35.1	6.17	508	373	0.865002649	1.361930295	0.854700855
113.3	337	51.2	272	63	29	64.9	7.74	42.5	9.03	25.4	3.83	28.5	5.54	583	300	1.386529167	1.943333333	3.975438596
767	1879	242	1091	223.9	9.71	204.8	26.61	141.6	26.99	64.5	7.48	41.2	5.24	184.2	738	0.138627963	0.249593496	18.61650485
679	1634	214.7	1021	248	11.44	266.3	34.8	184	34.3	78.1	8.58	46.2	5.78	234.3	845	0.136093767	0.277278107	14.6969697
1032	2564	328.7	1495	304.8	13.35	281.2	35.92	198	37.01	88.9	10.64	59.6	7.41	190.8	1009	0.139408663	0.189098117	17.31543624
1100	2698	344	1556	309.2	13.18	284.4	36.64	196	36.89	87.6	10.4	58	7.03	216.3	988	0.135879677	0.218927126	18.96551724
608.4	1534	200.9	933	195.7	8.05	183.3	23.36	126.5	23.97	57.5	6.74	38.09	4.61	169.2	661.2	0.129940002	0.255898367	15.97269625
421.6	1177	167.8	819.8	243.6	15.88	302.7	52	347.7	75.5	194.9	21.79	106.9	13.06	143.8	1901	0.17878426	0.075644398	3.943872778
948	2433	317.6	1476	301.2	13.47	275.3	35.93	192.6	36.05	87.8	10.29	58.5	7.17	192.9	980	0.143008101	0.196836735	16.20512821
802	2147	289.3	1349	290.7	12.01	272.6	35.78	194.8	37.63	93.5	11.49	65.8	8.25	148	1038	0.130431113	0.142581888	12.18844985
1510	3900	496	2270	462	20.7	420	55.1	297	56.4	139	16.4	90.2	11.04	214	1520	0.14366413	0.140789474	16.7405765
819	2173	290	1365	291.6	11.86	270.2	36.2	193	37.48	95.4	11.62	65.4	8.21	151.8	1048	0.129173043	0.144847328	12.52293578
893	2198	281.1	1297	256.7	11.56	231.2	30.63	161.2	30.43	76.3	8.81	48.6	6.01	214.2	822	0.145069001	0.260583942	18.3744856
909	2269	295.3	1360	271	12.47	245.1	32.65	175.3	32.85	81.8	9.93	57.8	8.41	216.2	892	0.147922346	0.242376682	15.7266436
774	1878	239.8	1088	214.5	9.72	189.6	24.7	129.6	24.71	60.1	6.91	38.1	4.73	252.3	662.1	0.147352356	0.381060263	20.31496063
1035	2626	342.8	1589	327.9	14.02	290.5	38.61	208.1	39.68	96.7	11.52	63.7	7.93	197.8	1062	0.138876215	0.186252354	16.24803768
951	2239	283.1	1277	247.9	11.38	219.9	28.8	152.8	28.45	70.4	8.19	43.6	5.36	237.2	773	0.149009864	0.306856404	21.81192661
878	2251	295	1397	284.4	11.59	255.4	34.52	183.6	34.45	84.4	9.84	54.2	6.61	171.9	915	0.131471564	0.187868852	16.19926199
613	1559	207	962	202.3	8.71	179.5	24.27	126.5	24	59	7.22	37.6	4.86	173.5	655	0.139737067	0.264885496	16.30319149
865	2078	267	1217	244	10.92	216.8	29.02	151.6	28.4	69.4	7.92	43.21	5.26	228.5	767	0.145151565	0.29791395	20.01851423
1156	2804	357.3	1592	320.9	15.22	292.8	38.27	205.6	38.66	90.4	10.64	58.3	7.41	237.6	1026	0.151798644	0.231578947	19.82847341
895	2245	301.6	1356	289.7	13.17	276.3	36.4	197.2	36.21	85.8	10.3	57.1	7.1	172.5	984	0.142313048	0.175304878	15.67425569
908	2242	294.1	1333	274.9	11.82	252.8	33.29	179.8	33.29	79.1	9.66	53.8	6.82	178.9	919	0.137077194	0.194668118	16.87732342
1040	2411	303.8	1334	259	10.75	229.9	28.55	152	27.79	61.59	6.86	36	4.45	235.5	730.2	0.134682984	0.32251438	28.88888889
1148	2773	356	1571	320.4	14.47	289.2	37.02	203.2	37.53	87.4	10.41	58.4	7.49	222.5	1021	0.145327154	0.217923604	19.65753425
748	1837	244.7	1093	228.8	10.05	209.3	27.18	149.1	28.2	65.7	8.02	45.8	6	188.9	780	0.140403221	0.242179487	16.33187773
1276	3261	425.9	1893	398.5	17.18	363.4	47.6	257.2	47.4	111.2	13.21	75.1	9.7	181.1	1273	0.138019411	0.142262372	16.99067909
1496	3604	436.8	1876	357.1	15.35	314.2	39.97	213.1	39.75	91.2	10.4	56.4	7.35	196.8	1036	0.140098666	0.18996139	26.5248227
636	1532	201.2	888	180.9	8.1	158.8	20.69	108.8	20.06	48	5.58	30.5	3.79	205.1	550	0.146104678	0.372909091	20.85245902
639.1	1465	163.3	600.9	90	8.59	75.5	9.19	51.3	10.94	29.74	4.15	33.12	7.16	78.7	354.7	0.318582612	0.221877643	19.29649758
1874	4940	652	2910	631	28.4	572	76.4	423	80.5	185.8	22.5	130.9	16.48	204.3	2085	0.144520442	0.097985612	14.31627196
997	2471	331	1463	311.1	13.27	276.5	36.85	199	37.07	87.4	10.48	60.7	7.65	173.1	1018	0.138323823	0.170039293	16.42504119
1312	3430	447	2002	437	19.03	395	51.7	283	53.8	126.6	14.87	84.4	10.88	189	1433	0.140030667	0.131891137	15.5450237
922	2454	340.1	1549	340.7	14.06	313.5	40.53	223	42.64	100.1	12.21	70.4	9.41	149.5	1154	0.13152373	0.129549393	13.09659091
845	2136	286.4	1281	279.6	12.05	250.4	32.4	180	33.66	80.8	9.63	53.2	6.85	189.4	918	0.139227472	0.206318083	15.88345865
855	2216	304.9	1369	301.1	13	269.8	35.79	193.4	36.4	86.6	10.27	59.6	7.8	154.6	997	0.139441048	0.155065196	14.34563758
789.9	1944	258.3	1144	244.5	10.85	213.3	28.45	157.3	29.34	68	7.8	43.9	5.75	209.4	780	0.145250794	0.268461538	17.99316629
932	2398	328.3	1464	319.6	14.33	290.9	39	212.1	40.3	96.3	11.23	63.9	8.02	175.5	1072	0.143679424	0.163712687	14.58528951
864	2219	300	1354	293.9	11.92	260.9	34.94	188.7	35.59	84.1	10.21	56.6	7.35	166.6	947	0.131602172	0.17592397	15.26501767
688.8	1696	224	1024	223.5	8.56	206.2	27.97	151.4	28.63	68.4	8.27	44.7	5.51	164.6	789	0.121902975	0.208618504	15.40939597
1127	2742	360.5	1641	343	13.9	317.5	43.23	236.6	44.55	108.7	13.04	75.2	9.2	188.6	1225	0.128771428	0.153959184	14.98670213
729.4	1817	243.2	1120	233.5	7.95	223.5	29.83	163.6	31.02	77.5	9.25	54.3	6.97	148	870	0.106391898	0.170114943	13.43278085
851	2057	270.2	1213	252.3	8.83	232.8	32.31	177.9	33.87	82.9	10.15	58.1	7.45	160	955	0.111386928	0.167539267	14.64716007
931	2204	285	1274	261.9	9.06	247	32.88	174.6	33.36	80.8	9.54	53.8	6.82	154.8	918.7	0.108901938	0.168498966	17.30483271
964	2267	296.1	1321	264.4	9.99	247.9	33.31	177.2	33.6	80.5	9.75	53.4	6.44	169.4	911	0.119294421	0.185949506	18.05243446
1265	3070	386.8	1749	359.5	13.25	337.8	45.6	244.5	46.3	109.4	12.86	70.6	8.89	172.5	1194	0.116241242	0.144472362	17.91784703
1926	4729	582.8	2517	500	21.79	447.3	59.7	319.2	60.4	143.7	17.07	92.3	11.43	224.6	1600	0.140862831	0.140375	20.86673889
996	2329	301.2	1337	271.8	9.98	252.1	33.28	179.5	34.02	81	9.67	53.2	6.61	167.8	927	0.116558252	0.181014024	18.72180451
1245	2990	389.8	1737	376.8	15.62	383.1	53.18	299.2	57.97	138.5	16.4	86.7	10.89	189.7	1438	0.125687805	0.131919332	14.35986159
1029	2503	332	1511	314.1	11.97	287.5	39.18	209.6	39.2	93.5	11.16	62	7.7	186.9	1053	0.121776894	0.177492877	16.59677419
1265	3093	401.3	1777	382.2	11.69	387.5	54.57	306.3	61.3	145.2	16.11	80.3	9.88	162	1407	0.092866045	0.115138593	15.75342466
962	2379	317.6	1450	313.1	11.64	309.1	42.2	230.5	44.01	107.3	12.81	69.2	8.65	163.1	1136	0.114389347	0.143573944	13.9017341
940	2289	308.1	1404	337.3	9.84	363.7	52.2	286.5	53.52	121.2	13.43	70.4	8.37	179.3	1329	0.08588927	0.134913469	13.35227273
1062	2656	355.1	1605	346.1	11.78	325.2	44.5	244.9	47.37	115.2	14.42	83.2	10.34	141.7	1311	0.107347728	0.108085431	12.76442308
897	2183	283.8	1286	273	9.36	266.5	37.32	205.7	39.57	93.9	10.93	60.3	7.59	157.2	1051	0.106088804	0.149571836	14.87562189
1177	2863	361.7	1641	341.3	11.86	339.4	44.58	238.7	45.21	101.5	11.48	61.7	7.72	161.7	1133	0.106533025	0.142718447	19.07617504
754.9	1887	250.4	1161	254.6	9.18	257.7	35.45	200.4	39.43	91.5	10.63	56.6	7.05	164.4	983	0.109567034	0.167243133	13.33745583
1158	2859	369	1701	356.5	12.58	331.8	45.09	247.8	46.31	111.3	13.34	74.7	9.52	160.7	1284	0.111824333	0.125155763	15.50200803
1224	2905	356	1559	295.4	16.59	251.6	33.94	187.2	35.27	81.8	9.83	54.81	7.02	241.5	953	0.186041339	0.253410283	22.3316913
755	2040	284.8	1340	315.4	10.74	295.9	43.28	239.6	47.29	115.8	14.71	86.1	11.2	115.6	1353	0.107479241	0.085439763	8.768873403
1176	3220	419	1960	418	13.31	389	49.9	261	49.6	114.7	14.24	81	10.4	195.1	1333	0.100911056	0.14636159	14.51851852
971	2306	299.1	1376	301.9	10.56	290.8	39.04	206	38.21	87.5	9.91	53.5	6.76	176.9	1008	0.108957918	0.175496032	18.14953271
1027	2489	323.1	1461	306.9	10.85	282.2	38.47	213.4	41.07	95.8	11.58	65.4	8.55	152	1105	0.112713627	0.137556561	15.70336391
822.2	2045	269.8	1236	257.6	8.39	236.6	31.58	170.9	32.75	75.6	9.18	51.8	6.76	150.8	876	0.103897548	0.172146119	15.87258687
1474	3590	453.2	2021	466.9	16.84	480.2	71.04	418.1	82.3	188.7	21.14	109.7	14.12	184.9	1861	0.108728327	0.099355185	13.4366454
1257	3046	384.2	1728	370.4	10.44	337.5	45.73	245.2	46.55	106.5	12.44	67.6	8.36	153.1	1206	0.090271728	0.12694859	18.59467456
619	1817	269	1281	336.5	9.85	329.7	48.9	286.9	57.5	143.2	18.54	111.5	14.99	99.2	1596	0.090408207	0.062155388	5.551569507
1096	2601	335.7	1516	347.1	15.6	335.9	48.8	278.8	55.71	126.5	14.56	74.8	9.74	176.5	1303	0.139674114	0.135456639	14.65240642
805	1869	243.4	1088	226.2	8.13	197.4	26.73	148.2	27.72	66.2	7.97	44.2	5.62	167.5	779	0.117623556	0.215019255	18.21266968
772	1970	268.2	1234	280.5	10.14	250.8	35.6	194.8	37.33	88	11.1	62.4	7.75	155.7	1023	0.116877629	0.152199413	12.37179487
1067	2411	306.3	1318	265.7	12.03	224.4	30.31	164	30.43	70	8.22	46.2	5.73	232.6	811	0.150619797	0.286806412	23.0952381
967	2260	289.3	1273	264.1	11.03	231.3	31.56	172.1	32.35	77.6	9.52	55.1	7.32	202.6	896.2	0.136435419	0.22606561	17.54990926
89.8	229.5	29.3	135.6	24.1	9.59	20.23	2.25	12.6	2.73	7.68	1.14	8.77	1.9	724.7	97.2	1.327809524	7.455761317	10.23945268
205.8	492	59.7	258.9	41.4	17.78	36.8	3.95	19.47	4.24	12.01	1.7	13.82	2.83	746	150.9	1.392615779	4.943671306	14.89146165
672	1465	154.8	614.7	80.6	19.05	65.3	6.81	35.9	7.17	19.51	2.6	16.63	2.69	585	222.6	0.802776228	2.628032345	40.40889958
88.2	188	23.1	115	25.3	12.1	30.6	3.69	20	4.24	11.7	1.39	9.5	1.73	603	151	1.32949905	3.993377483	9.284210526
189.6	498.3	64.2	303.3	50	20.53	44.6	4.99	27.64	5.84	17.36	2.54	19.69	3.4	675	202.4	1.329107635	3.334980237	9.629253428
467	1196	143.7	637	97.2	27.4	84.1	9.45	50.5	10.68	30.7	4.44	32.1	5.66	582	368	0.926494973	1.581521739	14.5482866
208.1	583	76.4	367.5	59.1	23.23	50	5.42	28.19	5.7	15.93	2.165	14.73	2.74	749	199	1.306453938	3.763819095	14.12763069
336.6	889	110.6	509	81.3	31.5	72.7	8.45	46.4	9.71	28.7	4.17	31	5.66	630.3	332.4	1.252626833	1.896209386	10.85806452
409.2	1081	134.3	620	99.8	32.71	85	9.86	53.6	10.89	31.33	4.44	33.2	6.05	648.4	373.3	1.085749019	1.736940798	12.3253012
424.9	1084	127.2	555.6	78.8	27.9	66.1	7.55	40.37	8.73	25.76	3.76	28.1	5.26	663.1	298.9	1.181854464	2.218467715	15.12099644
310	875	116.2	559	95	34.6	80.9	9.82	54.6	11.61	34.4	5.08	39.1	7.57	574	412.4	1.20660097	1.39185257	7.928388747
86.9	335	60.5	368	82.2	27.9	79.8	10.15	56.7	12.67	36.6	5.42	39	7.79	468.3	420	1.05315061	1.115	2.228205128
351	976	127	585	94.2	44.1	80.6	9.56	52	11.16	33.4	5.03	38.3	7.22	537.8	399	1.547281212	1.347869674	9.164490862
700	1469	148.3	573.4	70	17.84	55	5.86	29.6	6.07	16.47	2.26	16.37	2.69	764.8	204	0.878998472	3.749019608	42.76114844
188.1	589	82.6	438	93.1	31.7	86.8	10.35	53.2	10.06	25.9	3.59	25.3	4.59	726	329	1.078073061	2.20668693	7.434782609
305.8	767.3	92.8	396.7	57.8	20.58	45.1	5.22	27.74	5.77	16.71	2.4	17.99	3.08	735.5	198.3	1.232301041	3.709026727	16.99833241
309.6	786	92.6	395.9	58	19.86	46.8	5.26	27.9	5.9	16.79	2.49	17.62	3.15	708.5	200.9	1.165375694	3.526630164	17.57094211
342.6	912	115.2	521.8	81.8	31.17	65.9	7.68	41.1	8.75	25.12	3.63	26.3	4.96	708	294.8	1.297899539	2.401628223	13.02661597
217	598	83.8	400	91	24.8	90.2	11.7	65.6	14.15	41.9	6.65	54.2	10.24	608.8	530.3	0.836857188	1.148029417	4.003690037
50.6	140	20.3	97.9	21.5	8.27	20.1	2.36	13.17	2.9	7.82	1.14	8.41	1.69	662.1	93.9	1.216219286	7.051118211	6.016646849
439.3	1051	127.1	519	81.2	23.4	64.9	7.66	40.2	8.57	24.56	3.64	25.47	4.61	681	290.1	0.985460291	2.347466391	17.24774244
333	869	112.2	496	82.1	28.6	71.2	8.33	43.2	8.93	23.51	3.42	23.97	4.46	677.2	283.8	1.143610391	2.386187456	13.89236546
157.1	407	57.1	278	62.3	12.56	59.8	7.79	42.6	8.6	22.6	3.16	18.8	2.74	605	283	0.629098514	2.137809187	8.356382979
992	1688	153.6	518	58.5	12.48	45.7	5.06	24.77	5.11	14.05	1.89	12.81	2.15	610	171.5	0.737907946	3.556851312	77.43950039
596	1318	146	579	80.2	20.58	63.9	7.02	36.7	7.76	21.55	3.23	22	4.17	547.1	255.9	0.878883664	2.13794451	27.09090909
358.9	823	99.6	423.4	66.3	25.14	53.7	6.05	30.78	6.19	16.67	2.46	18.29	3.47	740	205.5	1.288086419	3.600973236	19.62274467
651	1426	162.3	644	94.9	28.3	70.5	8.25	41.4	8.31	24.21	3.31	22.29	4.01	567	283.6	1.05774847	1.999294781	29.20592194
1206	2936	311	1209	184	27	143	17	86	16	43	6	35	5	689	496	0.508874242	1.389112903	34.45714286
1084	2764	288	1090	168	25	134	16	80	15	40	5	33	5	665	470	0.509397259	1.414893617	32.84848485
954	2152	205	716	100	15	79	9	43	8	23	3	22	4	301	266	0.515942553	1.131578947	43.36363636
953	2218	223	798	107	18	81	9	45	9	24	3	23	4	451	294	0.591101065	1.534013605	41.43478261
1008	2349	247	908	131	20	96	11	54	10	27	4	26	4	351	344	0.545233292	1.020348837	38.76923077
871	2031	215	799	114	17	86	9	47	9	23	3	22	3	313	299	0.52489315	1.046822742	39.59090909
891	2159	222	809	113	16	86	10	51	10	28	4	27	4	204	333	0.496198184	0.612612613	33
855	2037	214	789	114	18	87	10	52	10	28	4	27	4	312	335	0.55256591	0.931343284	31.66666667
1016	2339	239	862	123	18	89	10	52	10	29	4	32	5	276	389	0.525954991	0.709511568	31.75
1725	2960	292	1046	143.5	19.1	103.9	11.37	56.5	11.62	32	4.28	31.9	5.7	277	368	0.478215092	0.752717391	54.07523511
1293	2500	257	943	125.4	18.6	86.4	10.09	53.8	10.26	27.3	3.95	26.1	4.9	266	325	0.546299672	0.818461538	49.54022989
1311	2630	259	909	119.5	16.9	81.4	8.84	45.8	9.23	24.7	3.46	23.8	4.84	345	296	0.523858728	1.165540541	55.08403361
872	1970	253	964	148	19.3	113.9	14	74	15.1	41.9	5.96	39.9	5.91	499	489	0.454452215	1.020449898	21.85463659
1258	2240	185	548	59.2	10.8	48.3	4.51	23.6	4.7	12.2	1.94	14.6	3.09	295	157	0.617465891	1.878980892	86.16438356
1490	2560	222	695	77.8	10.23	54.3	5.25	28.1	6.31	15.5	2.43	18.5	3.58	290	211	0.481182202	1.374407583	80.54054054
1080	2280	251	894	119.6	18.3	87.6	9.63	49	9.34	26.8	3.56	25.4	4.12	404	308	0.54658421	1.311688312	42.51968504
